Repeated,errors,Needed,Fields,XMLPath
3,,no,,mods [@{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-6.xsd']/relatedItem [@type = 'host']/location
2,,yes,field_relation,mods [@{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-6.xsd']/relatedItem [@type = 'host']/location/url [@displayLabel = 'Relation']
1,,yes,field_repository_collection_guide,mods [@{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-6.xsd']/relatedItem [@type = 'host']/location/url [@displayLabel = 'Repository Collection Guide']
2,,,,mods [@{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-6.xsd']/relatedItem [@type = 'host']/titleInfo [@displayLabel = 'Digital Collection']
2,,,,mods [@{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-6.xsd']/relatedItem [@type = 'host']/titleInfo [@displayLabel = 'Digital Collection']/title
1,,,,"mods [@{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-6.xsd']/relatedItem [@type = 'host']/titleInfo [@type = 'alternative', @displayLabel = 'Former Collection Title']"
1,,,,"mods [@{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-6.xsd']/relatedItem [@type = 'host']/titleInfo [@type = 'alternative', @displayLabel = 'Former Collection Title']/title"
1,,,,"mods [@{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-6.xsd']/relatedItem [@type = 'host']/titleInfo [@type = 'alternative', @displayLabel = 'Repository Collection']"
1,,,,"mods [@{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-6.xsd']/relatedItem [@type = 'host']/titleInfo [@type = 'alternative', @displayLabel = 'Repository Collection']/title"
5,,maybe,,mods [@{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-6.xsd']/subject [@authority = 'lcsh']
